epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.708,2.31754,5.51106,1.94697,0.47501,0.09704,0.09827,0.06141,2.12754,8.23263,1.90902,0.00010766,0.00010766,0.00010766
2,376.096,2.0332,3.01298,1.69066,0.83058,0.27508,0.29306,0.1396,2.12082,3.45208,1.84315,0.000218594,0.000218594,0.000218594
3,555.256,1.90716,2.35417,1.61081,0.903,0.35829,0.41436,0.20134,2.07564,2.90361,1.89896,0.000324961,0.000324961,0.000324961
4,731.117,1.87484,2.08558,1.5926,0.41268,0.47966,0.43735,0.1996,2.07779,2.52986,1.80845,0.00042676,0.00042676,0.00042676
5,910.804,1.78398,1.89113,1.56332,0.55065,0.41297,0.45607,0.21324,1.96779,2.51707,1.77957,0.00052399,0.00052399,0.00052399
6,1085.94,1.82987,1.87601,1.56636,0.38683,0.44463,0.39718,0.15982,2.37149,2.42115,2.09785,0.000616653,0.000616653,0.000616653
7,1259.06,1.7591,1.72369,1.49715,0.41339,0.47518,0.42992,0.19351,2.07945,3.20633,1.79738,0.000677643,0.000677643,0.000677643
8,1430.08,1.79761,1.65499,1.53961,0.69821,0.385,0.43307,0.20598,1.93984,1.97646,1.76165,0.000662417,0.000662417,0.000662417
9,1620.5,1.72122,1.60551,1.51094,0.68911,0.54133,0.52929,0.2294,1.94662,1.776,1.70887,0.00064719,0.00064719,0.00064719
10,1814.56,1.73932,1.59696,1.50196,0.72637,0.51007,0.51396,0.22994,1.99006,1.72894,1.74107,0.000631964,0.000631964,0.000631964
11,2007.97,1.73498,1.52932,1.52024,0.74255,0.48053,0.51022,0.23877,1.94661,1.70738,1.73833,0.000616738,0.000616738,0.000616738
12,2195.8,1.72266,1.53594,1.47878,0.66137,0.51303,0.5431,0.24208,1.9478,1.645,1.65867,0.000601512,0.000601512,0.000601512
13,2375.16,1.67583,1.47212,1.45837,0.64251,0.55784,0.55957,0.24738,1.94202,1.59287,1.67654,0.000586286,0.000586286,0.000586286
14,2554.59,1.65716,1.4928,1.46497,0.66268,0.4724,0.61639,0.27382,1.92646,1.71887,1.67983,0.000571059,0.000571059,0.000571059
15,2733.53,1.65292,1.43868,1.44891,0.67972,0.54133,0.53698,0.25039,1.86913,1.63298,1.64679,0.000555833,0.000555833,0.000555833
16,2929.7,1.63725,1.3916,1.44972,0.6723,0.50759,0.51217,0.2412,1.87323,1.62734,1.6383,0.000540607,0.000540607,0.000540607
17,3125.38,1.57713,1.32668,1.39681,0.59409,0.49353,0.52738,0.24449,1.84233,1.54484,1.60555,0.000525381,0.000525381,0.000525381
18,3322.74,1.58574,1.32478,1.39873,0.73421,0.47841,0.53117,0.24745,1.92356,1.493,1.66444,0.000510155,0.000510155,0.000510155
19,3519.28,1.56197,1.30126,1.37672,0.66895,0.51271,0.55624,0.23625,1.9294,1.53133,1.6693,0.000494928,0.000494928,0.000494928
20,3711.83,1.59729,1.34681,1.41437,0.69286,0.50787,0.52009,0.23125,1.93975,1.57167,1.68828,0.000479702,0.000479702,0.000479702
21,3911.67,1.56732,1.26996,1.39652,0.54754,0.49458,0.4949,0.22876,1.93372,1.62697,1.68601,0.000464476,0.000464476,0.000464476
22,4106.42,1.54465,1.23491,1.38437,0.6708,0.53543,0.54178,0.24364,1.9089,1.54831,1.67726,0.00044925,0.00044925,0.00044925
23,4297.7,1.53067,1.2105,1.35668,0.73946,0.51255,0.52607,0.24581,1.89661,1.54329,1.67582,0.000434024,0.000434024,0.000434024
24,4491.05,1.46409,1.12652,1.32279,0.76084,0.47154,0.51776,0.23348,1.97956,1.60263,1.71121,0.000418797,0.000418797,0.000418797
