epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.899,2.20853,4.0903,1.81251,0.98866,0.08001,0.11474,0.07376,2.28931,4.09562,1.99441,0.000251989,0.000251989,0.000251989
2,256.499,2.04301,3.27157,1.69695,0.79437,0.15514,0.18186,0.0954,2.10776,3.29917,1.84821,0.00050329,0.00050329,0.00050329
3,374.276,2.0349,2.89457,1.69034,0.45478,0.29936,0.28153,0.13164,2.13896,3.01201,1.87419,0.000749515,0.000749515,0.000749515
4,486.535,1.92251,2.65472,1.64183,0.42998,0.32592,0.31116,0.14532,2.05679,2.63063,1.82592,0.000746161,0.000746161,0.000746161
5,595.972,1.88472,2.47016,1.59597,0.53279,0.34835,0.34917,0.15921,2.03335,2.4486,1.79557,0.000738548,0.000738548,0.000738548
6,708.23,1.94518,2.40483,1.6464,0.65907,0.36177,0.3616,0.16375,1.97837,2.37843,1.73379,0.000730935,0.000730935,0.000730935
7,824.916,1.87771,2.31427,1.58032,0.48742,0.44293,0.37869,0.17685,1.97127,2.37906,1.77577,0.000723321,0.000723321,0.000723321
8,939.468,1.84872,2.15598,1.55625,0.50496,0.45222,0.37425,0.17551,1.90136,2.17581,1.68213,0.000715708,0.000715708,0.000715708
9,1049.95,1.83118,2.18051,1.59357,0.45602,0.46984,0.41486,0.18604,1.95926,2.21739,1.73198,0.000708095,0.000708095,0.000708095
10,1162.1,1.85762,2.17204,1.56614,0.34652,0.43011,0.36921,0.17876,1.93736,2.18965,1.70061,0.000700482,0.000700482,0.000700482
11,1279.04,1.80169,2.10357,1.56231,0.40779,0.48421,0.41506,0.18597,1.92124,2.12925,1.74149,0.000692869,0.000692869,0.000692869
12,1394.16,1.71998,2.04561,1.54447,0.41093,0.61964,0.42871,0.20056,1.86392,2.04898,1.71738,0.000685256,0.000685256,0.000685256
13,1507.21,1.77693,1.98186,1.54732,0.44684,0.49328,0.44312,0.21281,1.88588,2.08711,1.68403,0.000677643,0.000677643,0.000677643
14,1618.09,1.75881,1.90389,1.49801,0.65377,0.53254,0.49744,0.23478,1.85939,1.95338,1.65759,0.00067003,0.00067003,0.00067003
15,1729.72,1.76812,1.92902,1.51381,0.71919,0.46588,0.5084,0.24038,1.88227,1.94383,1.67031,0.000662417,0.000662417,0.000662417
16,1841.86,1.76175,1.89867,1.48875,0.67322,0.51367,0.52982,0.23994,1.89076,1.93755,1.65151,0.000654804,0.000654804,0.000654804
