epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2997,2.27126,4.14712,1.9656,0.9773,0.07181,0.08543,0.02558,2.65436,4.21622,2.12961,0.000251989,0.000251989,0.000251989
2,151.669,2.03657,3.39871,1.781,0.67991,0.18389,0.18542,0.08041,2.44822,3.36119,2.11568,0.00050329,0.00050329,0.00050329
3,224.422,1.98118,3.03539,1.78583,0.29885,0.29791,0.23678,0.09955,2.39722,4.76929,2.13216,0.000749515,0.000749515,0.000749515
4,297.019,1.98407,2.78849,1.78391,0.36041,0.34233,0.23549,0.08799,2.46714,2.8611,2.14725,0.000746161,0.000746161,0.000746161
5,369.353,1.95566,2.65818,1.74506,0.32609,0.30226,0.2563,0.11047,2.3105,2.8111,2.02095,0.000738548,0.000738548,0.000738548
6,443.139,1.9396,2.52776,1.74339,0.39709,0.33879,0.25691,0.09696,2.40363,2.98374,2.08588,0.000730935,0.000730935,0.000730935
7,514.223,1.8671,2.48934,1.70775,0.57944,0.36246,0.29663,0.12784,2.29201,2.54847,2.00441,0.000723321,0.000723321,0.000723321
8,580.641,1.8797,2.33457,1.72868,0.36589,0.37032,0.31892,0.13805,2.30271,2.41717,2.0323,0.000715708,0.000715708,0.000715708
9,650.801,1.86306,2.32997,1.75207,0.40998,0.35703,0.36294,0.15341,2.2572,2.54915,2.03179,0.000708095,0.000708095,0.000708095
10,716.53,1.85416,2.25784,1.69918,0.37764,0.39551,0.33906,0.14367,2.24622,2.48881,2.00387,0.000700482,0.000700482,0.000700482
11,784.12,1.85218,2.1995,1.69947,0.43067,0.4793,0.41093,0.15893,2.29433,2.45427,2.00776,0.000692869,0.000692869,0.000692869
12,855.835,1.80543,2.14092,1.66674,0.47842,0.44394,0.44099,0.19334,2.19065,2.23994,1.91927,0.000685256,0.000685256,0.000685256
13,924.016,1.79182,2.07885,1.6774,0.59639,0.42701,0.4041,0.15845,2.37348,2.30442,1.97317,0.000677643,0.000677643,0.000677643
14,989.321,1.78277,2.04799,1.62354,0.60627,0.4186,0.39957,0.16355,2.26965,2.25312,1.95069,0.00067003,0.00067003,0.00067003
15,1053.69,1.75894,1.97459,1.62624,0.48737,0.47529,0.43884,0.17354,2.29968,2.21916,1.93369,0.000662417,0.000662417,0.000662417
16,1115.95,1.77737,2.0016,1.64287,0.54125,0.42331,0.45982,0.20182,2.17322,2.11555,1.89015,0.000654804,0.000654804,0.000654804
17,1177.99,1.75554,1.98253,1.62066,0.50303,0.45243,0.44322,0.19198,2.2362,2.12581,1.91683,0.00064719,0.00064719,0.00064719
18,1240.95,1.78347,1.96368,1.6603,0.47229,0.45538,0.44916,0.20093,2.20046,2.09285,1.92457,0.000639577,0.000639577,0.000639577
19,1306.47,1.79637,1.95166,1.61527,0.66091,0.45804,0.49007,0.20684,2.13719,2.03379,1.8706,0.000631964,0.000631964,0.000631964
20,1374.55,1.744,1.90473,1.59825,0.67667,0.4747,0.45101,0.19938,2.1587,2.08884,1.90671,0.000624351,0.000624351,0.000624351
21,1439.54,1.70649,1.89898,1.5967,0.65988,0.49412,0.46358,0.20078,2.11629,2.08631,1.8491,0.000616738,0.000616738,0.000616738
22,1502.01,1.73159,1.86806,1.58947,0.55802,0.48715,0.48984,0.20213,2.1373,2.02949,1.85763,0.000609125,0.000609125,0.000609125
23,1563.54,1.67614,1.79648,1.5515,0.68023,0.50012,0.50474,0.21424,2.05467,1.93974,1.82489,0.000601512,0.000601512,0.000601512
