epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.065,2.6663,4.30767,2.1514,0.13461,0.08265,0.09624,0.05617,2.71685,6.5448,2.28946,0.00013635,0.00013635,0.00013635
2,517.493,2.27679,2.49708,1.86503,0.37967,0.41613,0.34845,0.16501,2.52502,3.01131,2.11072,0.000279,0.000279,0.000279
3,757.999,2.11178,2.1651,1.78791,0.57724,0.32012,0.33841,0.15202,2.39603,3.02509,2.0271,0.000418771,0.000418771,0.000418771
4,993.256,2.07536,2.07801,1.73293,0.62149,0.42213,0.45279,0.19858,2.34836,3.43577,1.99728,0.000555662,0.000555662,0.000555662
5,1228.26,2.04006,1.93833,1.71312,0.64039,0.40231,0.45673,0.19451,2.3893,2.80412,2.00865,0.000689673,0.000689673,0.000689673
6,1463.74,2.01554,1.88619,1.68765,0.60065,0.46783,0.43939,0.19432,2.40017,2.61383,1.93728,0.000820804,0.000820804,0.000820804
7,1696.53,2.028,1.84844,1.66551,0.71782,0.44084,0.467,0.19597,2.45292,2.51161,2.06226,0.000855005,0.000855005,0.000855005
8,1928.84,2.03387,1.88083,1.68849,0.77383,0.44289,0.5116,0.2155,2.33098,2.58264,1.93259,0.000846006,0.000846006,0.000846006
9,2258.05,1.97666,1.82211,1.64334,0.72426,0.44813,0.51127,0.21848,2.35526,2.1883,1.91934,0.000837007,0.000837007,0.000837007
10,2590.46,1.93959,1.76588,1.60762,0.71036,0.46763,0.49901,0.22608,2.32847,2.29063,1.93308,0.000828008,0.000828008,0.000828008
11,2920.98,1.95957,1.77628,1.63619,0.56166,0.53439,0.54958,0.23212,2.30703,2.10525,1.90626,0.000819009,0.000819009,0.000819009
12,3250.13,1.96621,1.75763,1.65092,0.50908,0.51864,0.51051,0.22157,2.37557,2.04367,1.96889,0.00081001,0.00081001,0.00081001
13,3579.12,1.93378,1.72505,1.59651,0.65823,0.53654,0.51132,0.23011,2.31435,2.05682,1.92338,0.000801011,0.000801011,0.000801011
14,3906.91,1.92657,1.72819,1.6033,0.64389,0.44998,0.61592,0.22695,2.29527,2.05323,1.90929,0.000792012,0.000792012,0.000792012
15,4232.91,1.94493,1.74363,1.62036,0.72416,0.59971,0.61225,0.2703,2.27954,1.94341,1.82371,0.000783013,0.000783013,0.000783013
16,4562.77,1.90103,1.71474,1.58739,0.65627,0.63428,0.68063,0.28737,2.28131,2.01074,1.8327,0.000774013,0.000774013,0.000774013
17,4879.8,1.85078,1.69418,1.58689,0.75952,0.6468,0.68526,0.31756,2.32359,2.00783,1.91809,0.000765014,0.000765014,0.000765014
18,5197.57,1.85033,1.65359,1.562,0.7698,0.66931,0.71149,0.30834,2.31783,1.89068,1.89193,0.000756015,0.000756015,0.000756015
19,5515.53,1.87293,1.6544,1.56976,0.65132,0.70388,0.6979,0.27372,2.22919,1.87411,1.80384,0.000747016,0.000747016,0.000747016
20,5832.01,1.82325,1.6194,1.54096,0.58007,0.71232,0.68788,0.29611,2.26512,1.87817,1.8084,0.000738017,0.000738017,0.000738017
21,6150.45,1.83733,1.60732,1.55471,0.73632,0.5604,0.60878,0.25171,2.26136,1.8425,1.81865,0.000729018,0.000729018,0.000729018
