epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.009,2.6663,4.30767,2.1514,0.13461,0.08265,0.09624,0.05617,2.71685,6.5448,2.28946,0.00013635,0.00013635,0.00013635
2,420.111,2.27527,2.4968,1.86395,0.38104,0.41517,0.35393,0.16482,2.52551,3.00113,2.12074,0.000276211,0.000276211,0.000276211
3,645.561,2.11024,2.1638,1.78544,0.50581,0.41893,0.37105,0.17002,2.38085,3.39572,2.02616,0.000410312,0.000410312,0.000410312
4,840.025,2.0837,2.0622,1.73293,0.60727,0.43211,0.48631,0.20498,2.3318,2.80854,1.94866,0.000538653,0.000538653,0.000538653
5,1031.7,2.04874,1.93109,1.71818,0.61944,0.42081,0.41279,0.18332,2.41386,2.63975,2.0283,0.000661236,0.000661236,0.000661236
6,1228.76,2.03502,1.87299,1.69691,0.63047,0.47629,0.46109,0.20865,2.41279,2.31859,1.99972,0.000778059,0.000778059,0.000778059
7,1418.93,2.03826,1.83849,1.66983,0.66818,0.44437,0.46747,0.20286,2.39773,2.11542,1.99519,0.000801011,0.000801011,0.000801011
8,1606.81,2.02303,1.85194,1.68647,0.73296,0.49785,0.5526,0.24393,2.29547,2.17295,1.92042,0.000783013,0.000783013,0.000783013
9,1795.57,1.96676,1.79425,1.64754,0.76094,0.49486,0.52351,0.24751,2.29871,2.16166,1.91894,0.000765014,0.000765014,0.000765014
10,1983.53,1.91969,1.77052,1.62143,0.69173,0.5021,0.53661,0.24401,2.32022,2.30581,1.92102,0.000747016,0.000747016,0.000747016
11,2173.23,1.94846,1.75723,1.63972,0.73112,0.50067,0.53126,0.23957,2.35623,2.05154,1.90786,0.000729018,0.000729018,0.000729018
12,2384.85,1.95864,1.72825,1.64057,0.75135,0.50773,0.5497,0.24455,2.3873,1.99903,1.95224,0.00071102,0.00071102,0.00071102
13,2605.32,1.92793,1.72822,1.59511,0.76375,0.52253,0.54808,0.23665,2.31942,1.99341,1.91407,0.000693022,0.000693022,0.000693022
14,2826.43,1.91052,1.71443,1.59704,0.7058,0.52491,0.51203,0.22542,2.29454,2.00813,1.86918,0.000675023,0.000675023,0.000675023
15,3053.11,1.91675,1.7095,1.61731,0.77246,0.52506,0.57413,0.24724,2.27721,1.92075,1.85796,0.000657025,0.000657025,0.000657025
16,3292.62,1.87422,1.70011,1.59465,0.78797,0.50804,0.58517,0.25529,2.32509,1.91419,1.85483,0.000639027,0.000639027,0.000639027
17,3522.18,1.83325,1.65958,1.5701,0.74742,0.51915,0.57078,0.2457,2.30664,1.94399,1.8414,0.000621029,0.000621029,0.000621029
18,3762.63,1.83021,1.62141,1.56848,0.73671,0.52181,0.54484,0.24336,2.2951,1.94966,1.84089,0.000603031,0.000603031,0.000603031
19,4031.74,1.82812,1.62092,1.56035,0.72938,0.5268,0.55261,0.24314,2.25962,1.88009,1.8145,0.000585032,0.000585032,0.000585032
20,4253.47,1.77579,1.59014,1.52019,0.72582,0.54252,0.59162,0.25851,2.28729,1.81,1.83712,0.000567034,0.000567034,0.000567034
21,4484.13,1.80059,1.57213,1.53368,0.74415,0.55697,0.70923,0.27677,2.2526,1.80566,1.84054,0.000549036,0.000549036,0.000549036
22,4703.89,1.79171,1.58546,1.55424,0.79437,0.52272,0.62922,0.27169,2.26284,1.79136,1.82015,0.000531038,0.000531038,0.000531038
23,4930.61,1.78547,1.5585,1.52455,0.73073,0.58586,0.61886,0.26694,2.22922,1.81488,1.80291,0.00051304,0.00051304,0.00051304
24,5145.57,1.75999,1.55104,1.50398,0.68492,0.65377,0.71886,0.32841,2.24392,1.81832,1.81516,0.000495041,0.000495041,0.000495041
25,5355.37,1.7617,1.52745,1.50437,0.63721,0.68803,0.69199,0.31136,2.23877,1.89633,1.80051,0.000477043,0.000477043,0.000477043
26,5565.18,1.71438,1.51592,1.48179,0.59753,0.72876,0.71375,0.32778,2.20932,1.81854,1.77738,0.000459045,0.000459045,0.000459045
27,5766.02,1.68887,1.46738,1.45793,0.67301,0.74531,0.71456,0.30788,2.27321,1.76934,1.81066,0.000441047,0.000441047,0.000441047
28,5969.99,1.6962,1.49009,1.47272,0.78106,0.67759,0.71823,0.30972,2.28627,1.80012,1.83717,0.000423049,0.000423049,0.000423049
29,6178.94,1.63838,1.42912,1.44144,0.72295,0.69765,0.70821,0.29292,2.29735,1.79909,1.82974,0.00040505,0.00040505,0.00040505
30,6390.3,1.72121,1.45923,1.46307,0.69505,0.67303,0.68039,0.29075,2.3481,1.85443,1.8697,0.000387052,0.000387052,0.000387052
31,6613.48,1.65915,1.42845,1.43636,0.71362,0.68418,0.706,0.311,2.28863,1.80918,1.86543,0.000369054,0.000369054,0.000369054
32,6813.29,1.6821,1.4094,1.4468,0.68842,0.71248,0.71946,0.31679,2.25342,1.80889,1.83618,0.000351056,0.000351056,0.000351056
33,7001.4,1.62165,1.40087,1.42298,0.62146,0.61291,0.7159,0.32146,2.26919,1.81109,1.83131,0.000333058,0.000333058,0.000333058
34,7196.79,1.59526,1.35125,1.38181,0.58173,0.77552,0.72317,0.30192,2.29155,1.83824,1.84402,0.000315059,0.000315059,0.000315059
35,7378.63,1.64378,1.39086,1.41339,0.63895,0.70793,0.7134,0.30385,2.25683,1.82297,1.82922,0.000297061,0.000297061,0.000297061
36,7596.2,1.55888,1.32845,1.39255,0.68349,0.72031,0.72582,0.31788,2.24525,1.82733,1.84533,0.000279063,0.000279063,0.000279063
37,7787.33,1.57713,1.30959,1.3967,0.58649,0.77038,0.73396,0.32217,2.27527,1.80689,1.86977,0.000261065,0.000261065,0.000261065
38,7967.94,1.55883,1.28985,1.37455,0.63741,0.76156,0.73065,0.3044,2.33514,1.8291,1.87534,0.000243067,0.000243067,0.000243067
39,8154.52,1.58464,1.29184,1.36841,0.67135,0.7219,0.71567,0.26925,2.32188,1.83934,1.87565,0.000225068,0.000225068,0.000225068
40,8340.54,1.5252,1.25459,1.35446,0.7561,0.68752,0.72252,0.26836,2.29748,1.81883,1.86392,0.00020707,0.00020707,0.00020707
41,8519.69,1.6324,1.34866,1.41789,0.67714,0.71413,0.71664,0.26804,2.27472,1.83468,1.863,0.000189072,0.000189072,0.000189072
42,8695.9,1.56306,1.25833,1.39148,0.62485,0.75075,0.71447,0.28261,2.26196,1.8025,1.85039,0.000171074,0.000171074,0.000171074
43,8880.82,1.52492,1.23392,1.35819,0.75956,0.5632,0.70785,0.28772,2.2798,1.80287,1.86158,0.000153076,0.000153076,0.000153076
44,9056.91,1.51805,1.18845,1.34784,0.62609,0.73508,0.6994,0.29095,2.31268,1.81027,1.87896,0.000135077,0.000135077,0.000135077
45,9234.36,1.52485,1.19091,1.35088,0.56312,0.72765,0.70634,0.29049,2.34571,1.82522,1.91351,0.000117079,0.000117079,0.000117079
46,9433.78,1.49733,1.17436,1.34994,0.66445,0.70661,0.70661,0.29613,2.33551,1.8382,1.91818,9.9081e-05,9.9081e-05,9.9081e-05
47,9692.52,1.44921,1.12654,1.28884,0.63394,0.71238,0.70684,0.29846,2.34123,1.82511,1.93034,8.10828e-05,8.10828e-05,8.10828e-05
48,9958.77,1.45438,1.12583,1.30977,0.58755,0.72713,0.63894,0.26408,2.34136,1.84145,1.92411,6.30846e-05,6.30846e-05,6.30846e-05
49,10219.9,1.47153,1.12548,1.31797,0.60314,0.75169,0.65281,0.26391,2.34521,1.84466,1.93015,4.50864e-05,4.50864e-05,4.50864e-05
50,10480.5,1.41506,1.09144,1.28578,0.57781,0.744,0.64832,0.25969,2.3495,1.8491,1.93729,2.70882e-05,2.70882e-05,2.70882e-05
