epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.549,2.55203,3.1033,2.19247,0.49328,0.51794,0.46134,0.27436,2.57674,2.8285,2.51214,0.00025005,0.00025005,0.00025005
2,385.532,2.22972,2.2613,1.9277,0.07346,0.53693,0.0531,0.02292,2.55147,10.7964,2.26624,0.000511654,0.000511654,0.000511654
3,566.873,2.21795,2.08512,1.8393,0.43073,0.47758,0.41455,0.21546,2.75263,4.64407,2.4129,0.000767977,0.000767977,0.000767977
4,744.877,2.1211,2.05508,1.81838,0.49222,0.38147,0.37082,0.21269,2.71492,4.89167,2.51496,0.00101902,0.00101902,0.00101902
5,926.091,2.12944,2.02856,1.80404,0.12388,0.39631,0.11198,0.06636,2.95152,6.6274,2.5792,0.00126478,0.00126478,0.00126478
6,1102.9,2.08178,1.97361,1.79432,0.47941,0.52293,0.48438,0.28978,2.56277,4.8457,2.30212,0.00150526,0.00150526,0.00150526
7,1278.03,2.13521,1.96571,1.78269,0.46118,0.4607,0.45553,0.25533,2.51839,3.78497,2.24641,0.00156798,0.00156798,0.00156798
8,1458.76,2.09292,1.96706,1.77064,0.40787,0.4904,0.42638,0.23852,2.6997,2.86142,2.21141,0.00155148,0.00155148,0.00155148
9,1635.97,2.0864,1.97421,1.77251,0.45829,0.45624,0.45853,0.27285,2.56711,2.99685,2.2671,0.00153497,0.00153497,0.00153497
10,1811.83,2.05122,1.91739,1.74348,0.8808,0.42384,0.44598,0.26023,2.60421,2.39897,2.31832,0.00151847,0.00151847,0.00151847
11,2072.73,2.09309,1.91806,1.76546,0.92298,0.4898,0.49835,0.28845,2.48485,2.38872,2.10391,0.00150197,0.00150197,0.00150197
12,2348.91,2.04191,1.93562,1.76479,0.50138,0.53409,0.50966,0.30621,2.52803,2.28105,2.19643,0.00148546,0.00148546,0.00148546
13,2634.17,2.05832,1.90055,1.75797,0.4875,0.55195,0.49175,0.29079,2.37229,2.22445,2.05142,0.00146896,0.00146896,0.00146896
14,2903.38,2.03965,1.8965,1.74425,0.46565,0.55359,0.52174,0.31458,2.36476,2.16032,2.03342,0.00145246,0.00145246,0.00145246
15,3175.59,2.07851,1.9159,1.76338,0.48209,0.58537,0.51875,0.30057,2.30813,2.22336,2.01214,0.00143595,0.00143595,0.00143595
16,3445.52,2.03416,1.86172,1.7195,0.45666,0.57372,0.50195,0.3005,2.33256,2.15768,2.0244,0.00141945,0.00141945,0.00141945
